"category","matches","percentage","module","article","total_matches_article","module_total","total_words","prop_article","prop_module","matches_per_1000w"
"Politically induced",1,25,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,4,6498,1.41,25,0.15
"Deep uncertainty",1,25,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,4,6498,1.41,25,0.15
"Epistemic",1,25,"Uncertainty_Types","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,4,6498,1.41,25,0.15
"Injectors",1,5.3,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,19,6498,1.41,5.26,0.15
"Beneficiaries",6,31.6,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,19,6498,8.45,31.58,0.92
"Affected",6,31.6,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,19,6498,8.45,31.58,0.92
"Regulators",3,15.8,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,19,6498,4.23,15.79,0.46
"Influencers",3,15.8,"Decision_Actors","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,19,6498,4.23,15.79,0.46
"Information",7,23.3,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,30,6498,9.86,23.33,1.08
"Consultation",3,10,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,30,6498,4.23,10,0.46
"Collaboration",11,36.7,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,30,6498,15.49,36.67,1.69
"Co-decision",5,16.7,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,30,6498,7.04,16.67,0.77
"Empowerment",4,13.3,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,30,6498,5.63,13.33,0.62
"Institutional",1,5.6,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,1.41,5.56,0.15
"Institutional",1,5.6,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,1.41,5.56,0.15
"Institutional",1,5.6,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,1.41,5.56,0.15
"Social",3,16.7,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,4.23,16.67,0.46
"Social",3,16.7,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,4.23,16.67,0.46
"Social",3,16.7,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,4.23,16.67,0.46
"Methodological",2,11.1,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,2.82,11.11,0.31
"Methodological",2,11.1,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,2.82,11.11,0.31
"Methodological",2,11.1,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",71,18,6498,2.82,11.11,0.31
"Injectors",1,10,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",12,10,6133,8.33,10,0.16
"Beneficiaries",1,10,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",12,10,6133,8.33,10,0.16
"Regulators",6,60,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",12,10,6133,50,60,0.98
"Influencers",2,20,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",12,10,6133,16.67,20,0.33
"Consultation",1,100,"Participation_Levels","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",12,1,6133,8.33,100,0.16
"Methodological",1,100,"Challenges","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",12,1,6133,8.33,100,0.16
"Ontological",1,33.3,"Uncertainty_Types","Comparing model complexity for glacio-hydrological simulation.pdf",16,3,9082,6.25,33.33,0.11
"Deep uncertainty",1,33.3,"Uncertainty_Types","Comparing model complexity for glacio-hydrological simulation.pdf",16,3,9082,6.25,33.33,0.11
"Epistemic",1,33.3,"Uncertainty_Types","Comparing model complexity for glacio-hydrological simulation.pdf",16,3,9082,6.25,33.33,0.11
"Beneficiaries",3,42.9,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",16,7,9082,18.75,42.86,0.33
"Affected",1,14.3,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",16,7,9082,6.25,14.29,0.11
"Regulators",1,14.3,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",16,7,9082,6.25,14.29,0.11
"Influencers",2,28.6,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",16,7,9082,12.5,28.57,0.22
"Consultation",1,25,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",16,4,9082,6.25,25,0.11
"Collaboration",1,25,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",16,4,9082,6.25,25,0.11
"Co-decision",1,25,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",16,4,9082,6.25,25,0.11
"Empowerment",1,25,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",16,4,9082,6.25,25,0.11
"Methodological",2,100,"Challenges","Comparing model complexity for glacio-hydrological simulation.pdf",16,2,9082,12.5,100,0.22
"Deep uncertainty",1,100,"Uncertainty_Types","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,1,28910,5,100,0.03
"Injectors",1,7.7,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,13,28910,5,7.69,0.03
"Beneficiaries",1,7.7,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,13,28910,5,7.69,0.03
"Regulators",7,53.8,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,13,28910,35,53.85,0.24
"Influencers",4,30.8,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,13,28910,20,30.77,0.14
"Consultation",1,33.3,"Participation_Levels","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,3,28910,5,33.33,0.03
"Co-decision",1,33.3,"Participation_Levels","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,3,28910,5,33.33,0.03
"Empowerment",1,33.3,"Participation_Levels","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,3,28910,5,33.33,0.03
"Methodological",1,33.3,"Challenges","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,3,28910,5,33.33,0.03
"Temporal",1,33.3,"Challenges","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,3,28910,5,33.33,0.03
"Temporal",1,33.3,"Challenges","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",20,3,28910,5,33.33,0.03
"Deep uncertainty",2,66.7,"Uncertainty_Types","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,3,27907,3.57,66.67,0.07
"Epistemic",1,33.3,"Uncertainty_Types","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,3,27907,1.79,33.33,0.04
"Extractors",1,4.8,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,21,27907,1.79,4.76,0.04
"Injectors",2,9.5,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,21,27907,3.57,9.52,0.07
"Beneficiaries",5,23.8,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,21,27907,8.93,23.81,0.18
"Affected",4,19,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,21,27907,7.14,19.05,0.14
"Regulators",6,28.6,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,21,27907,10.71,28.57,0.21
"Influencers",3,14.3,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,21,27907,5.36,14.29,0.11
"Information",3,16.7,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,18,27907,5.36,16.67,0.11
"Consultation",4,22.2,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,18,27907,7.14,22.22,0.14
"Collaboration",4,22.2,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,18,27907,7.14,22.22,0.14
"Co-decision",3,16.7,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,18,27907,5.36,16.67,0.11
"Empowerment",4,22.2,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,18,27907,7.14,22.22,0.14
"Institutional",1,7.1,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,1.79,7.14,0.04
"Institutional",1,7.1,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,1.79,7.14,0.04
"Institutional",1,7.1,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,1.79,7.14,0.04
"Social",3,21.4,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,5.36,21.43,0.11
"Social",3,21.4,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,5.36,21.43,0.11
"Social",3,21.4,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,5.36,21.43,0.11
"Methodological",1,7.1,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,1.79,7.14,0.04
"Temporal",1,7.1,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",56,14,27907,1.79,7.14,0.04
"Deep uncertainty",2,40,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,5,21054,3.39,40,0.09
"Epistemic",1,20,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,5,21054,1.69,20,0.05
"Normative",1,20,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,5,21054,1.69,20,0.05
"Ambiguity",1,20,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,5,21054,1.69,20,0.05
"Injectors",1,4.5,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,22,21054,1.69,4.55,0.05
"Beneficiaries",6,27.3,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,22,21054,10.17,27.27,0.28
"Affected",6,27.3,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,22,21054,10.17,27.27,0.28
"Regulators",6,27.3,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,22,21054,10.17,27.27,0.28
"Influencers",3,13.6,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,22,21054,5.08,13.64,0.14
"Information",4,19,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,21,21054,6.78,19.05,0.19
"Consultation",4,19,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,21,21054,6.78,19.05,0.19
"Collaboration",6,28.6,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,21,21054,10.17,28.57,0.28
"Co-decision",3,14.3,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,21,21054,5.08,14.29,0.14
"Empowerment",4,19,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,21,21054,6.78,19.05,0.19
"Institutional",1,9.1,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,1.69,9.09,0.05
"Institutional",1,9.1,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,1.69,9.09,0.05
"Institutional",1,9.1,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,1.69,9.09,0.05
"Social",2,18.2,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,3.39,18.18,0.09
"Social",2,18.2,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,3.39,18.18,0.09
"Social",2,18.2,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,3.39,18.18,0.09
"Methodological",1,9.1,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,1.69,9.09,0.05
"Temporal",1,9.1,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",59,11,21054,1.69,9.09,0.05
"Deep uncertainty",1,50,"Uncertainty_Types","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,2,10272,2.94,50,0.1
"Epistemic",1,50,"Uncertainty_Types","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,2,10272,2.94,50,0.1
"Extractors",1,7.7,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,2.94,7.69,0.1
"Injectors",1,7.7,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,2.94,7.69,0.1
"Beneficiaries",4,30.8,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,11.76,30.77,0.39
"Affected",5,38.5,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,14.71,38.46,0.49
"Regulators",1,7.7,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,2.94,7.69,0.1
"Influencers",1,7.7,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,2.94,7.69,0.1
"Information",3,23.1,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,8.82,23.08,0.29
"Consultation",2,15.4,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,5.88,15.38,0.19
"Collaboration",4,30.8,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,11.76,30.77,0.39
"Co-decision",1,7.7,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,2.94,7.69,0.1
"Empowerment",3,23.1,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,13,10272,8.82,23.08,0.29
"Social",2,33.3,"Challenges","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,6,10272,5.88,33.33,0.19
"Social",2,33.3,"Challenges","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,6,10272,5.88,33.33,0.19
"Social",2,33.3,"Challenges","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",34,6,10272,5.88,33.33,0.19
"Epistemic",1,100,"Uncertainty_Types","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,1,5997,2.78,100,0.17
"Injectors",1,8.3,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,12,5997,2.78,8.33,0.17
"Beneficiaries",3,25,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,12,5997,8.33,25,0.5
"Affected",4,33.3,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,12,5997,11.11,33.33,0.67
"Regulators",2,16.7,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,12,5997,5.56,16.67,0.33
"Influencers",2,16.7,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,12,5997,5.56,16.67,0.33
"Information",3,21.4,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,14,5997,8.33,21.43,0.5
"Consultation",2,14.3,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,14,5997,5.56,14.29,0.33
"Collaboration",5,35.7,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,14,5997,13.89,35.71,0.83
"Co-decision",1,7.1,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,14,5997,2.78,7.14,0.17
"Empowerment",3,21.4,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,14,5997,8.33,21.43,0.5
"Social",2,22.2,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,9,5997,5.56,22.22,0.33
"Social",2,22.2,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,9,5997,5.56,22.22,0.33
"Social",2,22.2,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,9,5997,5.56,22.22,0.33
"Methodological",1,11.1,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,9,5997,2.78,11.11,0.17
"Temporal",1,11.1,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,9,5997,2.78,11.11,0.17
"Temporal",1,11.1,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",36,9,5997,2.78,11.11,0.17
"Injectors",1,9.1,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,11,5531,2.94,9.09,0.18
"Beneficiaries",3,27.3,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,11,5531,8.82,27.27,0.54
"Affected",2,18.2,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,11,5531,5.88,18.18,0.36
"Regulators",3,27.3,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,11,5531,8.82,27.27,0.54
"Influencers",2,18.2,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,11,5531,5.88,18.18,0.36
"Information",3,23.1,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,13,5531,8.82,23.08,0.54
"Consultation",2,15.4,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,13,5531,5.88,15.38,0.36
"Collaboration",4,30.8,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,13,5531,11.76,30.77,0.72
"Co-decision",1,7.7,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,13,5531,2.94,7.69,0.18
"Empowerment",3,23.1,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,13,5531,8.82,23.08,0.54
"Social",2,20,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,10,5531,5.88,20,0.36
"Social",2,20,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,10,5531,5.88,20,0.36
"Social",2,20,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,10,5531,5.88,20,0.36
"Methodological",2,20,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,10,5531,5.88,20,0.36
"Methodological",1,10,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,10,5531,2.94,10,0.18
"Methodological",1,10,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",34,10,5531,2.94,10,0.18
"Deep uncertainty",1,50,"Uncertainty_Types","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,2,9231,3.57,50,0.11
"Epistemic",1,50,"Uncertainty_Types","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,2,9231,3.57,50,0.11
"Injectors",1,8.3,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,12,9231,3.57,8.33,0.11
"Beneficiaries",2,16.7,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,12,9231,7.14,16.67,0.22
"Affected",3,25,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,12,9231,10.71,25,0.32
"Regulators",4,33.3,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,12,9231,14.29,33.33,0.43
"Influencers",2,16.7,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,12,9231,7.14,16.67,0.22
"Information",2,20,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,10,9231,7.14,20,0.22
"Consultation",2,20,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,10,9231,7.14,20,0.22
"Collaboration",3,30,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,10,9231,10.71,30,0.32
"Co-decision",1,10,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,10,9231,3.57,10,0.11
"Empowerment",2,20,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,10,9231,7.14,20,0.22
"Social",1,25,"Challenges","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,4,9231,3.57,25,0.11
"Social",1,25,"Challenges","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,4,9231,3.57,25,0.11
"Social",1,25,"Challenges","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,4,9231,3.57,25,0.11
"Methodological",1,25,"Challenges","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",28,4,9231,3.57,25,0.11
"Epistemic",1,100,"Uncertainty_Types","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,1,9436,9.09,100,0.11
"Injectors",2,40,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,5,9436,18.18,40,0.21
"Affected",2,40,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,5,9436,18.18,40,0.21
"Regulators",1,20,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,5,9436,9.09,20,0.11
"Collaboration",1,100,"Participation_Levels","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,1,9436,9.09,100,0.11
"Institutional",1,25,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,4,9436,9.09,25,0.11
"Institutional",1,25,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,4,9436,9.09,25,0.11
"Institutional",1,25,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,4,9436,9.09,25,0.11
"Methodological",1,25,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",11,4,9436,9.09,25,0.11
