"category","matches","percentage","module","article","total_matches_article","module_total","total_words","prop_article","prop_module","matches_per_1000w"
"Information",28,16.7,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,168,6638,7.91,16.67,4.22
"Consultation",2,1.2,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,168,6638,0.56,1.19,0.3
"Collaboration",68,40.5,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,168,6638,19.21,40.48,10.24
"Co-decision",9,5.4,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,168,6638,2.54,5.36,1.36
"Empowerment",61,36.3,"Participation_Levels","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,168,6638,17.23,36.31,9.19
"Institutional",4,9.1,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,44,6638,1.13,9.09,0.6
"Institutional",4,9.1,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,44,6638,1.13,9.09,0.6
"Institutional",4,9.1,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,44,6638,1.13,9.09,0.6
"Methodological",28,63.6,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,44,6638,7.91,63.64,4.22
"Methodological",2,4.5,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,44,6638,0.56,4.55,0.3
"Methodological",2,4.5,"Challenges","Challenges-and-opportunities-for-universities-in-building-adaptive-capacities-for-sustainability-lessons-from-Mexico-Central-America-and-the-CaribbeanClimate-Policy.pdf",354,44,6638,0.56,4.55,0.3
"Injectors",12,14.5,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,83,10800,11.21,14.46,1.11
"Beneficiaries",13,15.7,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,83,10800,12.15,15.66,1.2
"Affected",4,4.8,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,83,10800,3.74,4.82,0.37
"Regulators",20,24.1,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,83,10800,18.69,24.1,1.85
"Influencers",34,41,"Decision_Actors","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,83,10800,31.78,40.96,3.15
"Information",13,56.5,"Participation_Levels","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,23,10800,12.15,56.52,1.2
"Consultation",10,43.5,"Participation_Levels","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,23,10800,9.35,43.48,0.93
"Methodological",1,100,"Challenges","Como-priorizar-la-inversion-para-fortalecer-la-resiliencia-al-cambio-climatico-de-la-red-de-transporte-de-Republica-Dominicana (1).pdf",107,1,10800,0.93,100,0.09
"Ontological",12,19,"Uncertainty_Types","Comparing model complexity for glacio-hydrological simulation.pdf",185,63,9710,6.49,19.05,1.24
"Deep uncertainty",6,9.5,"Uncertainty_Types","Comparing model complexity for glacio-hydrological simulation.pdf",185,63,9710,3.24,9.52,0.62
"Epistemic",45,71.4,"Uncertainty_Types","Comparing model complexity for glacio-hydrological simulation.pdf",185,63,9710,24.32,71.43,4.63
"Extractors",43,47.3,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",185,91,9710,23.24,47.25,4.43
"Beneficiaries",9,9.9,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",185,91,9710,4.86,9.89,0.93
"Affected",7,7.7,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",185,91,9710,3.78,7.69,0.72
"Regulators",6,6.6,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",185,91,9710,3.24,6.59,0.62
"Influencers",26,28.6,"Decision_Actors","Comparing model complexity for glacio-hydrological simulation.pdf",185,91,9710,14.05,28.57,2.68
"Information",3,42.9,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",185,7,9710,1.62,42.86,0.31
"Consultation",2,28.6,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",185,7,9710,1.08,28.57,0.21
"Collaboration",1,14.3,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",185,7,9710,0.54,14.29,0.1
"Co-decision",1,14.3,"Participation_Levels","Comparing model complexity for glacio-hydrological simulation.pdf",185,7,9710,0.54,14.29,0.1
"Epistemological",1,4.2,"Challenges","Comparing model complexity for glacio-hydrological simulation.pdf",185,24,9710,0.54,4.17,0.1
"Methodological",23,95.8,"Challenges","Comparing model complexity for glacio-hydrological simulation.pdf",185,24,9710,12.43,95.83,2.37
"Deep uncertainty",4,66.7,"Uncertainty_Types","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,6,50740,0.9,66.67,0.08
"Epistemic",2,33.3,"Uncertainty_Types","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,6,50740,0.45,33.33,0.04
"Extractors",16,4.5,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,357,50740,3.6,4.48,0.32
"Injectors",4,1.1,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,357,50740,0.9,1.12,0.08
"Beneficiaries",17,4.8,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,357,50740,3.82,4.76,0.34
"Affected",55,15.4,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,357,50740,12.36,15.41,1.08
"Regulators",24,6.7,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,357,50740,5.39,6.72,0.47
"Influencers",241,67.5,"Decision_Actors","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,357,50740,54.16,67.51,4.75
"Information",74,93.7,"Participation_Levels","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,79,50740,16.63,93.67,1.46
"Consultation",5,6.3,"Participation_Levels","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,79,50740,1.12,6.33,0.1
"Methodological",1,33.3,"Challenges","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,3,50740,0.22,33.33,0.02
"Temporal",1,33.3,"Challenges","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,3,50740,0.22,33.33,0.02
"Temporal",1,33.3,"Challenges","Costos-y-beneficios-de-la-carbono-neutralidad-en-Peru-Una-evaluacion-robusta.pdf",445,3,50740,0.22,33.33,0.02
"Deep uncertainty",495,54.3,"Uncertainty_Types","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,911,30058,36.86,54.34,16.47
"Epistemic",416,45.7,"Uncertainty_Types","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,911,30058,30.98,45.66,13.84
"Extractors",1,0.4,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,230,30058,0.07,0.43,0.03
"Injectors",84,36.5,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,230,30058,6.25,36.52,2.79
"Beneficiaries",32,13.9,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,230,30058,2.38,13.91,1.06
"Affected",20,8.7,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,230,30058,1.49,8.7,0.67
"Regulators",54,23.5,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,230,30058,4.02,23.48,1.8
"Influencers",39,17,"Decision_Actors","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,230,30058,2.9,16.96,1.3
"Information",19,15.6,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,122,30058,1.41,15.57,0.63
"Consultation",37,30.3,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,122,30058,2.76,30.33,1.23
"Collaboration",21,17.2,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,122,30058,1.56,17.21,0.7
"Co-decision",1,0.8,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,122,30058,0.07,0.82,0.03
"Empowerment",44,36.1,"Participation_Levels","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,122,30058,3.28,36.07,1.46
"Institutional",6,7.5,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.45,7.5,0.2
"Institutional",6,7.5,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.45,7.5,0.2
"Institutional",6,7.5,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.45,7.5,0.2
"Social",1,1.2,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.07,1.25,0.03
"Social",1,1.2,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.07,1.25,0.03
"Social",1,1.2,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.07,1.25,0.03
"Methodological",54,67.5,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,4.02,67.5,1.8
"Methodological",2,2.5,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.15,2.5,0.07
"Methodological",2,2.5,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.15,2.5,0.07
"Temporal",1,1.2,"Challenges","Decision-making-under-deep-uncertainty-integration-into-long-term-power-systems-planning.pdf",1343,80,30058,0.07,1.25,0.03
"Deep uncertainty",28,17.4,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,161,22536,4.96,17.39,1.24
"Epistemic",131,81.4,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,161,22536,23.23,81.37,5.81
"Normative",1,0.6,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,161,22536,0.18,0.62,0.04
"Ambiguity",1,0.6,"Uncertainty_Types","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,161,22536,0.18,0.62,0.04
"Injectors",72,30.4,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,237,22536,12.77,30.38,3.19
"Beneficiaries",50,21.1,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,237,22536,8.87,21.1,2.22
"Affected",40,16.9,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,237,22536,7.09,16.88,1.77
"Regulators",48,20.3,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,237,22536,8.51,20.25,2.13
"Influencers",27,11.4,"Decision_Actors","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,237,22536,4.79,11.39,1.2
"Information",37,31.1,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,119,22536,6.56,31.09,1.64
"Consultation",6,5,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,119,22536,1.06,5.04,0.27
"Collaboration",26,21.8,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,119,22536,4.61,21.85,1.15
"Co-decision",7,5.9,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,119,22536,1.24,5.88,0.31
"Empowerment",43,36.1,"Participation_Levels","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,119,22536,7.62,36.13,1.91
"Institutional",10,21.3,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,47,22536,1.77,21.28,0.44
"Institutional",10,21.3,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,47,22536,1.77,21.28,0.44
"Institutional",10,21.3,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,47,22536,1.77,21.28,0.44
"Methodological",16,34,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,47,22536,2.84,34.04,0.71
"Temporal",1,2.1,"Challenges","Developing a Robust Water Strategy for Monterrey, Mexico.pdf",564,47,22536,0.18,2.13,0.04
"Deep uncertainty",4,18.2,"Uncertainty_Types","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,22,10440,3.36,18.18,0.38
"Epistemic",18,81.8,"Uncertainty_Types","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,22,10440,15.13,81.82,1.72
"Extractors",2,3.7,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,54,10440,1.68,3.7,0.19
"Injectors",4,7.4,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,54,10440,3.36,7.41,0.38
"Beneficiaries",8,14.8,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,54,10440,6.72,14.81,0.77
"Affected",4,7.4,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,54,10440,3.36,7.41,0.38
"Regulators",2,3.7,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,54,10440,1.68,3.7,0.19
"Influencers",34,63,"Decision_Actors","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,54,10440,28.57,62.96,3.26
"Information",37,86,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,43,10440,31.09,86.05,3.54
"Collaboration",2,4.7,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,43,10440,1.68,4.65,0.19
"Empowerment",4,9.3,"Participation_Levels","Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean.pdf",119,43,10440,3.36,9.3,0.38
"Epistemic",11,100,"Uncertainty_Types","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,11,6717,9.57,100,1.64
"Injectors",3,3.8,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,78,6717,2.61,3.85,0.45
"Beneficiaries",7,9,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,78,6717,6.09,8.97,1.04
"Affected",49,62.8,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,78,6717,42.61,62.82,7.29
"Regulators",7,9,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,78,6717,6.09,8.97,1.04
"Influencers",12,15.4,"Decision_Actors","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,78,6717,10.43,15.38,1.79
"Information",7,38.9,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,18,6717,6.09,38.89,1.04
"Collaboration",6,33.3,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,18,6717,5.22,33.33,0.89
"Co-decision",3,16.7,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,18,6717,2.61,16.67,0.45
"Empowerment",2,11.1,"Participation_Levels","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,18,6717,1.74,11.11,0.3
"Methodological",4,50,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,8,6717,3.48,50,0.6
"Methodological",1,12.5,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,8,6717,0.87,12.5,0.15
"Methodological",1,12.5,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,8,6717,0.87,12.5,0.15
"Temporal",1,12.5,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,8,6717,0.87,12.5,0.15
"Temporal",1,12.5,"Challenges","Earthquake Decision-Making Tool for Humanitarian Logistics Network An Application in Popayan, Colombia.pdf",115,8,6717,0.87,12.5,0.15
"Epistemic",16,100,"Uncertainty_Types","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,16,5897,14.04,100,2.71
"Injectors",3,5,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,60,5897,2.63,5,0.51
"Beneficiaries",45,75,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,60,5897,39.47,75,7.63
"Affected",2,3.3,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,60,5897,1.75,3.33,0.34
"Regulators",5,8.3,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,60,5897,4.39,8.33,0.85
"Influencers",5,8.3,"Decision_Actors","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,60,5897,4.39,8.33,0.85
"Information",6,19.4,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,31,5897,5.26,19.35,1.02
"Consultation",2,6.5,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,31,5897,1.75,6.45,0.34
"Collaboration",12,38.7,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,31,5897,10.53,38.71,2.03
"Empowerment",11,35.5,"Participation_Levels","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,31,5897,9.65,35.48,1.87
"Methodological",5,71.4,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,7,5897,4.39,71.43,0.85
"Methodological",1,14.3,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,7,5897,0.88,14.29,0.17
"Methodological",1,14.3,"Challenges","Economic evaluation of decarbonizing the electricity sector in the Dominican Republic.pdf",114,7,5897,0.88,14.29,0.17
"Deep uncertainty",18,30.5,"Uncertainty_Types","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,59,9542,7.23,30.51,1.89
"Epistemic",41,69.5,"Uncertainty_Types","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,59,9542,16.47,69.49,4.3
"Injectors",134,77.9,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,172,9542,53.82,77.91,14.04
"Beneficiaries",2,1.2,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,172,9542,0.8,1.16,0.21
"Affected",14,8.1,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,172,9542,5.62,8.14,1.47
"Regulators",20,11.6,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,172,9542,8.03,11.63,2.1
"Influencers",2,1.2,"Decision_Actors","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,172,9542,0.8,1.16,0.21
"Information",10,66.7,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,15,9542,4.02,66.67,1.05
"Consultation",1,6.7,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,15,9542,0.4,6.67,0.1
"Collaboration",3,20,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,15,9542,1.2,20,0.31
"Empowerment",1,6.7,"Participation_Levels","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,15,9542,0.4,6.67,0.1
"Methodological",3,100,"Challenges","Exploring Equity Challenges within DeeplyUncertain Water Supply Investment Pathwaysin the Federal District of Brazil.pdf",249,3,9542,1.2,100,0.31
"Ontological",1,12.5,"Uncertainty_Types","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,8,9655,2.33,12.5,0.1
"Epistemic",7,87.5,"Uncertainty_Types","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,8,9655,16.28,87.5,0.73
"Injectors",12,48,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,25,9655,27.91,48,1.24
"Affected",4,16,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,25,9655,9.3,16,0.41
"Regulators",7,28,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,25,9655,16.28,28,0.73
"Influencers",2,8,"Decision_Actors","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,25,9655,4.65,8,0.21
"Information",3,75,"Participation_Levels","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,4,9655,6.98,75,0.31
"Collaboration",1,25,"Participation_Levels","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,4,9655,2.33,25,0.1
"Institutional",1,16.7,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,6,9655,2.33,16.67,0.1
"Institutional",1,16.7,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,6,9655,2.33,16.67,0.1
"Institutional",1,16.7,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,6,9655,2.33,16.67,0.1
"Methodological",3,50,"Challenges","Exploring sustainable electricity system development pathways in South America’s MERCOSUR sub-region.pdf",43,6,9655,6.98,50,0.31
"Epistemic",1,100,"Uncertainty_Types","Extreme gradient boosting-inspired process optimization algorithm for.pdf",25,1,8438,4,100,0.12
"Beneficiaries",9,40.9,"Decision_Actors","Extreme gradient boosting-inspired process optimization algorithm for.pdf",25,22,8438,36,40.91,1.07
"Regulators",5,22.7,"Decision_Actors","Extreme gradient boosting-inspired process optimization algorithm for.pdf",25,22,8438,20,22.73,0.59
"Influencers",8,36.4,"Decision_Actors","Extreme gradient boosting-inspired process optimization algorithm for.pdf",25,22,8438,32,36.36,0.95
"Information",2,100,"Participation_Levels","Extreme gradient boosting-inspired process optimization algorithm for.pdf",25,2,8438,8,100,0.24
"Deep uncertainty",1,50,"Uncertainty_Types","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,2,5547,0.88,50,0.18
"Epistemic",1,50,"Uncertainty_Types","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,2,5547,0.88,50,0.18
"Extractors",1,1.1,"Decision_Actors","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,89,5547,0.88,1.12,0.18
"Injectors",7,7.9,"Decision_Actors","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,89,5547,6.14,7.87,1.26
"Beneficiaries",1,1.1,"Decision_Actors","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,89,5547,0.88,1.12,0.18
"Affected",10,11.2,"Decision_Actors","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,89,5547,8.77,11.24,1.8
"Influencers",70,78.7,"Decision_Actors","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,89,5547,61.4,78.65,12.62
"Information",8,34.8,"Participation_Levels","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,23,5547,7.02,34.78,1.44
"Consultation",5,21.7,"Participation_Levels","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,23,5547,4.39,21.74,0.9
"Collaboration",4,17.4,"Participation_Levels","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,23,5547,3.51,17.39,0.72
"Empowerment",6,26.1,"Participation_Levels","Freshwater Biology - 2019 - Rosero‐López - Streamlined eco‐engineering approach helps define environmental flows for.pdf",114,23,5547,5.26,26.09,1.08
"Deep uncertainty",44,36.1,"Uncertainty_Types","Harmonizing Discretionary Policy Choice with Fiscal Rule Making.pdf",749,122,49474,5.87,36.07,0.89
"Epistemic",78,63.9,"Uncertainty_Types","Harmonizing Discretionary Policy Choice with Fiscal Rule Making.pdf",749,122,49474,10.41,63.93,1.58
"Extractors",8,1.4,"Decision_Actors","Harmonizing Discretionary Policy Choice with Fiscal Rule Making.pdf",749,553,49474,1.07,1.45,0.16
